"Proteins ",Essentials (N.P.),Essentials(P),"Speciality(NP) ","Speciality(P) "
Eggs,Red chilli powder,lemon,soy sauce,parmesan cheese
paneer,Salt,peeled garlic,red chili sauce,peas
soy chunks ,turmeric,curd,ketchup,carrot
tofu,cumin seeds,Ginger Garlic paste,cornflour,lettuce
chickpea,coriander powder,Fresh coriander,besan,orange
Rajma,khade masale(custom kit),green chilly,mustard sauce,brocolli
chicken,hing,Tomato,noodles,cabbage
fish,garam masala,ginger,coriander seeds,curry leaves
mutton,basmati rice,,fennel seeds,capsicum
shrimp,Atta,,kashmiri chili powder,cucumber
,neutral oil,,pepper powder,Bhindi (Okra)
,mustard oil,,kasuri methi,Palak (Spinach) 
,olive oil,,cumin powder,apple
,ghee,,Toor Dal,banana
,butter,,Amchur,papaya
,onion,,chat Masala,grapes
,vinegar,,Mustard seeds,Whole wheat bread
,,,Sugar,green beans
,,,sambhar masala,cheese slice
,,,honey,corn
,,,,coconut milk/powder
