Protein Source,"Serving Size ","Requested Serving Size "
Soy Chunks,1,40 grams (dry)
Kidney Beans (Rajma),1,60 grams (dry)
Chickpeas (Chana),1,60 grams (dry)
Eggs,1,"3 eggs "
Fish (Rohu),1,100 grams (fillet)
Tofu,1,100 grams (firm)
Chicken,1,100 grams (boneless breast)
Paneer,1,100 grams
Mutton,1,100 grams (boneless)
Shrimp,1,100 grams (peeled & deveined)
atta,1," 2 nos roti (50 gm raw atta )"
Basmati rice,1,50 gm (dry)
lemon,1,1/2 unit
peeled garlic,1,3-6 gms
curd,1,1/4 cup
Ginger Garlic paste,1,"1 tsp "
Fresh coriander,1,5-10 gm
green chilly,1,2-5 gm
Tomato,1,100-125 gm
ginger,1,1-3 gm
Red chilli powder,1,1/4 - 1/2 tsp
Salt,1,"1/4 - 1/2 tsp "
Sugar,1,1/2 tsp
turmeric,1,1/8 - 1/4 tsp
cumin seeds,1,1/4 tsp
coriander powder,1,1/2 - 1 tsp
garam masala,1,1/4 tsp
cumin powder,1,1/4 tsp
chat Masala,1,1/4 - 1/2 tsp
pepper powder,1,1/8 - 1/4 tsp
kashmiri chili powder,1,1/2 - 1 tsp
coriander seeds,1,1/4 tsp
fennel seeds,1,1/4 tsp
Mustard seeds,1,1/4 tsp
khade masale(custom kit),1,1 - 2 pieces
hing,1,1 pinch
kasuri methi,1,1/2 tsp
sambhar masala,1,1 tsp
Amchur,1,1/4 tsp
Toor Dal,1,50 gm dry
besan,1(marination and chilla),"30 gm(marination), 60 gm (chilla)"
cornflour,1,1 - 2 tsp
onion,1,1 piece (100-150 gm)
neutral oil,1,1-2 tsp
mustard oil,1,1-2 tsp
olive oil,1,1 tsp
mustard sauce,1,1-2 tsp
vinegar,1,1 tsp
soy sauce,1,1 tsp
red chili sauce,1,1 tbsp
ketchup,1,1 tbsp
Noodles,1,60 gm(dry)
"ghee ",1,10 ml(1 sachet)
butter,1,10 gm(1 block)
parmesan cheese,1,10 gm(1 cube)
peas,1,1/2 cup
carrot,1,1 unit
lettuce,"1(salad meal, salad side and sandwich)","250-300gm (salad meal),100-150gm(salad side) and 2 full leaves from outer layer(sandwich)"
orange,1(scaling logic included),"1 small unit(67 gm) for serving <=2, 2 for >2"
brocolli,1,100-150 gm
cabbage,1,"100 gm "
curry leaves,1(scaling logic included),1 stick full of leaves for all serving sizes
capsicum,1,1/2 unit
cucumber,1,1/2 (big cucumber) or 1 (mini cucumber)
Bhindi (Okra),1,"250 gms "
Palak (Spinach) ,1(scaling logic included),"1 bunch for serving <=2, 2 for >2"
apple,1(scaling logic included),"1 unit for serving <=2, 2 for >2"
banana,1,"1 unit "
papaya,1,1/4 unit(approx 100-150 gms)
grapes,1,1/2 cup(10-12 pieces)
Whole wheat bread,1(for salad and sandwich),"1 unit for salad(crouton), 2 slices per serving for sandwich"
green beans,1,"83 gm(250/3, 3 serving in 1 pack)"
cheese slice,1,"1 unit "
corn,1,"1/4 cup "
coconut milk/powder,1,2  Tbsp
